-1.779446005821228027e-01,-5.740148480981588364e-03,6.363008499145507812e+00
-1.090884134173393250e-01,-5.741495173424482346e-03,6.364501476287841797e+00
-5.168356746435165405e-02,-5.742618814110755920e-03,6.365746974945068359e+00
-1.781920492649078369e-01,5.748131312429904938e-03,6.371856689453125000e+00
-1.092401519417762756e-01,5.749481730163097382e-03,6.373354434967041016e+00
-5.175546556711196899e-02,5.750607233494520187e-03,6.374602317810058594e+00
-2.372765839099884033e-01,6.365957111120223999e-02,6.415203094482421875e+00
-1.794396191835403442e-01,6.367212533950805664e-02,6.416467189788818359e+00
-1.100051477551460266e-01,6.368719041347503662e-02,6.417986392974853516e+00
-5.211798101663589478e-02,6.369975209236145020e-02,6.419252395629882812e+00
-1.737471669912338257e-02,6.370728462934494019e-02,6.420011520385742188e+00
5.792029201984405518e-03,6.371231377124786377e-02,6.420518398284912109e+00
-2.376092374324798584e-01,7.533951848745346069e-02,6.424197196960449219e+00
-1.796912401914596558e-01,7.535438984632492065e-02,6.425465106964111328e+00
-1.101594269275665283e-01,7.537224143743515015e-02,6.426987648010253906e+00
-2.971704900264739990e-01,1.223643273115158081e-01,6.459143161773681641e+00
-2.389492094516754150e-01,1.223886236548423767e-01,6.460425376892089844e+00
-1.690531075000762939e-01,1.224177703261375427e-01,6.461964130401611328e+00
-1.228711903095245361e-01,1.228711903095245361e-01,6.485898494720458984e+00
-1.111171990633010864e-01,1.228137388825416565e-01,6.482865810394287109e+00
-9.937419742345809937e-02,1.227563470602035522e-01,6.479836463928222656e+00
-5.251170694828033447e-02,1.225273087620735168e-01,6.467746734619140625e+00
5.821058992296457291e-03,1.222422271966934204e-01,6.452698230743408203e+00
6.388299912214279175e-02,1.219584494829177856e-01,6.437718391418457031e+00
-2.049884200096130371e-01,1.347066760063171387e-01,6.492331027984619141e+00
-2.872686684131622314e-01,1.465656459331512451e-01,6.498775959014892578e+00
2.894682995975017548e-02,1.447341442108154297e-01,6.417566299438476562e+00
-2.894841320812702179e-02,1.563214361667633057e-01,6.417917728424072266e+00
-8.684999495744705200e-02,1.679099947214126587e-01,6.418268680572509766e+00
-2.970939576625823975e-01,1.805865168571472168e-01,6.457479000091552734e+00
-2.382853776216506958e-01,1.801670044660568237e-01,6.442477703094482422e+00
-1.447578966617584229e-01,1.794998049736022949e-01,6.418619632720947266e+00
-2.026721537113189697e-01,1.910909116268157959e-01,6.418971538543701172e+00
-1.793435811996459961e-01,1.909141391515731812e-01,6.413033485412597656e+00
-1.096160933375358582e-01,1.903858333826065063e-01,6.395287513732910156e+00
-5.180394276976585388e-02,1.899477839469909668e-01,6.380572795867919922e+00
5.742780398577451706e-03,1.895117610692977905e-01,6.365926265716552734e+00
4.014417529106140137e-02,1.892511248588562012e-01,6.357171058654785156e+00
6.302592158317565918e-02,1.890777647495269775e-01,6.351347446441650391e+00
-2.605927586555480957e-01,2.026832550764083862e-01,6.419322490692138672e+00
-1.720557920634746552e-02,2.007317543029785156e-01,6.357515335083007812e+00
-7.456155121326446533e-02,2.122136354446411133e-01,6.357860088348388672e+00
-1.319237351417541504e-01,2.236967682838439941e-01,6.358204364776611328e+00
-1.892921626567840576e-01,2.351811677217483521e-01,6.358549594879150391e+00
-2.466667741537094116e-01,2.466667741537094116e-01,6.358893871307373047e+00
-2.350860983133316040e-01,2.465537190437316895e-01,6.355979442596435547e+00
-1.773415952920913696e-01,2.459899336099624634e-01,6.341445446014404297e+00
-1.198605373501777649e-01,2.454287260770797729e-01,6.326977729797363281e+00
-5.122854933142662048e-02,2.447586059570312500e-01,6.309702873229980469e+00
-5.681719630956649780e-03,2.443139255046844482e-01,6.298239231109619141e+00
5.679139867424964905e-03,2.442030161619186401e-01,6.295380115509033203e+00
-6.250227242708206177e-02,2.556911110877990723e-01,6.298577785491943359e+00
-1.761617064476013184e-01,2.784491181373596191e-01,6.299254417419433594e+00
